,precision,recall,f1-score,support
Negative,0.5763621353880022,0.5238869434717359,0.5488731656184487,7996.0
Neutral,0.31224778046811946,0.33725618393810614,0.32427052229032427,9177.0
Positive,0.9057973196807709,0.9057018534411371,0.9057495840454125,66417.0
accuracy,0.8067711448737888,0.8067711448737888,0.8067711448737888,0.8067711448737888
macro avg,0.5981357451789642,0.5889483269503263,0.5929644239847285,83590.0
weighted avg,0.8091210682755852,0.8067711448737888,0.807773543951281,83590.0
