,precision,recall,f1-score,support
Negative,0.28554788997401664,0.3985742871435718,0.3327243305319204,7996.0
Neutral,0.13850118101782263,0.2811376266753841,0.18557813342923937,9177.0
Positive,0.8853924648240739,0.7172109550265745,0.7924770001164552,66417.0
accuracy,0.6388563225266181,0.6388563225266181,0.6388563225266181,0.6388563225266181
macro avg,0.4364805119386377,0.4656409562818435,0.43692648802587164,83590.0
weighted avg,0.7460148056304978,0.6388563225266181,0.6818693527233876,83590.0
