,precision,recall,f1-score,support
Negative,0.3749173670790443,0.14895692630947022,0.21320587524502563,26652.0
Neutral,0.15981881846509685,0.3270551885086941,0.21471499012742634,30423.0
Positive,0.8513745954928428,0.7907734522380381,0.8199558242704453,221578.0
accuracy,0.6787581687618651,0.6787581687618651,0.6787581687618651,0.6787581687618651
macro avg,0.46203692701232796,0.4222618556854008,0.4159588965476324,278653.0
weighted avg,0.7303002146098102,0.6787581687618651,0.695843248634947,278653.0
