,precision,recall,f1-score,support
Negative,0.597028100632632,0.5108257804632427,0.5505732311240756,7944.0
Neutral,0.3130426105179124,0.3417211328976035,0.32675381490547367,9180.0
Positive,0.9016174928860267,0.9057685363505056,0.9036882477445698,66464.0
accuracy,0.806287983921137,0.806287983921137,0.806287983921137,0.806287983921137
macro avg,0.6038960680121903,0.5861051499037839,0.593671764591373,83588.0
weighted avg,0.8080301890601155,0.806287983921137,0.8067675918430516,83588.0
