,precision,recall,f1-score,support
Negative,0.48613633611817414,0.5020632737276479,0.49397145669291337,7997.0
Neutral,0.2352525331867096,0.32635937670262616,0.2734161037064086,9177.0
Positive,0.8949764395815031,0.8435585131208503,0.8685071225954457,66421.0
accuracy,0.7541120880435432,0.7541120880435432,0.7541120880435432,0.7541120880435432
macro avg,0.5387884362954622,0.5573270545170415,0.5452982276649226,83595.0
weighted avg,0.7834412927858663,0.7541120880435432,0.767349015046343,83595.0
