,precision,recall,f1-score,support
Negative,0.2769904840145136,0.5190506735086594,0.3612177484153201,7795.0
Neutral,0.16550807605806583,0.35997776542523624,0.22675864000840365,8995.0
Positive,0.9053273223696743,0.661849353221514,0.7646748603351956,64628.0
accuracy,0.6148271880910855,0.6148271880910855,0.6148271880910855,0.6148271880910855
macro avg,0.4492752941474179,0.5136259307184698,0.4508837495863065,81418.0
weighted avg,0.7634353602046567,0.6148271880910855,0.6666190914725986,81418.0
