,precision,recall,f1-score,support
Negative,0.5263375620518478,0.47433826270659873,0.4989868618863978,8047.0
Neutral,0.25750536097212295,0.31086182720310646,0.2816791281825734,9271.0
Positive,0.889898540269229,0.8747793285552622,0.8822741660579498,66275.0
accuracy,0.7736891845010946,0.7736891845010946,0.7736891845010946,0.7736891845010946
macro avg,0.5579138210977332,0.5533264728216558,0.5543133853756403,83593.0
weighted avg,0.7847642304947414,0.7736891845010946,0.7787675383162598,83593.0
