,precision,recall,f1-score,support
Negative,0.42463284980628885,0.5893460047517819,0.49361122748219516,7997.0
Neutral,0.20531013962005035,0.39097744360902253,0.2692379844670394,9177.0
Positive,0.9193020719738277,0.761506150163352,0.8329970932386922,66421.0
accuracy,0.7043603086308989,0.7043603086308989,0.7043603086308989,0.7043603086308989
macro avg,0.5164150204667223,0.5806098661747189,0.5319487683959756,83595.0
weighted avg,0.7935986957804617,0.7043603086308989,0.7386411376234979,83595.0
