,precision,recall,f1-score,support
Negative,0.47551217796535655,0.6763381690845423,0.5584180907635913,7996.0
Neutral,0.2567092969319462,0.4221423123024954,0.3192681720784572,9177.0
Positive,0.939765785005339,0.8083049775663224,0.8690922335990935,66418.0
accuracy,0.7532868370996878,0.7532868370996878,0.7532868370996878,0.7532868370996878
macro avg,0.5573290866342139,0.6355951529844533,0.582259498813714,83591.0
weighted avg,0.8203679881977733,0.7532868370996878,0.7790121309721654,83591.0
