,precision,recall,f1-score,support
Negative,0.5913330742324135,0.38051769413530073,0.4630601841284334,7997.0
Neutral,0.24606647425751793,0.2880026152337365,0.2653880911738126,9177.0
Positive,0.8674011933597211,0.884208307613556,0.8757241163357663,66421.0
accuracy,0.7705724026556612,0.7705724026556612,0.7705724026556612,0.7705724026556612
macro avg,0.5682669139498842,0.5175762056608644,0.5347241305460041,83595.0
weighted avg,0.7727818325622812,0.7705724026556612,0.7692449349400693,83595.0
