,precision,recall,f1-score,support
Negative,0.4700451085424302,0.25022512381809997,0.3265915768854065,26652.0
Neutral,0.18094762558624747,0.3335305525424843,0.23461271676300577,30423.0
Positive,0.8747720598115054,0.8226990044137956,0.8479368136085179,221578.0
accuracy,0.7145374354483892,0.7145374354483892,0.7145374354483892,0.7145374354483892
macro avg,0.5085882646467277,0.4688182269247933,0.46971370241897675,278653.0
weighted avg,0.7603106922049897,0.7145374354483892,0.7311103224260243,278653.0
