,precision,recall,f1-score,support
Negative,0.498041706361808,0.599668620953352,0.5441508124674724,7846.0
Neutral,0.25425164921624405,0.4694379260252542,0.3298523869346734,8949.0
Positive,0.9384861055664521,0.8095615978918369,0.8692695396339257,66788.0
accuracy,0.7534426857136021,0.7534426857136021,0.7534426857136021,0.7534426857136021
macro avg,0.5635931537148346,0.6262227149568144,0.5810909130120239,83583.0
weighted avg,0.8238821680906776,0.7534426857136021,0.7809964980722014,83583.0
