,precision,recall,f1-score,support
Negative,0.5622812702527544,0.5425212606303151,0.5522245560435364,7996.0
Neutral,0.27600304240349877,0.3163343140459845,0.2947956334094948,9177.0
Positive,0.9014396964550726,0.8870537932280453,0.8941888877084883,66421.0
accuracy,0.7914443620355528,0.7914443620355528,0.7914443620355528,0.7914443620355528
macro avg,0.5799080030371085,0.5819697893014483,0.5804030257205065,83594.0
weighted avg,0.8003374289461004,0.7914443620355528,0.7956772877049614,83594.0
