,precision,recall,f1-score,support
Negative,0.5439300036456435,0.5599899912423371,0.551843175933917,7993.0
Neutral,0.2757639020687037,0.3136873920552677,0.29350570649429353,9264.0
Positive,0.9031929662193429,0.8826349110642147,0.8927956087520011,66340.0
accuracy,0.7887364379104513,0.7887364379104513,0.7887364379104513,0.7887364379104513
macro avg,0.5742956239778967,0.5854374314539398,0.5793814970600706,83597.0
weighted avg,0.7993125433555667,0.7887364379104513,0.7937842273623538,83597.0
